screen_time,sleep_hours,stress_level,wellness_index,sleep_quality,fatigue_score,digital_balance,screen_time_category,physical_activity,caffeine_intake,work_hours,mood
10.79,6.63,9.3,9.3,Moderate,6.710000000000001,0.5623409669211197,High,1,1,6,Exhausted
7.4,8.05,5.7,56.2,Good,3.63,0.9583333333333334,Moderate,4,1,9,Normal
9.78,6.48,9.1,3.6,Moderate,6.255999999999999,0.601113172541744,High,2,1,5,Exhausted
11.13,6.89,10.0,0.0,Moderate,7.074000000000002,0.5680131904369332,High,3,0,9,Exhausted
13.22,5.79,10.0,0.0,Moderate,8.13,0.4071729957805907,High,4,1,8,Exhausted
9.83,7.19,10.0,5.0,Good,6.494,0.6638965835641736,High,0,2,5,Exhausted
6.02,7.44,6.1,43.7,Good,3.3599999999999994,1.0598290598290598,Moderate,0,2,12,Normal
6.21,6.78,5.4,54.3,Moderate,3.2880000000000003,0.9403606102635228,Moderate,2,3,9,Normal
6.28,8.48,1.6,86.8,Good,1.4560000000000004,1.164835164835165,Moderate,4,2,4,Relaxed
9.37,7.78,10.0,10.7,Good,6.191999999999999,0.7502410800385729,High,0,2,5,Exhausted
9.87,6.4,8.8,21.8,Moderate,6.188,0.5887764489420424,High,4,0,5,Exhausted
4.96,8.01,4.6,74.3,Good,2.2219999999999995,1.343959731543624,Moderate,4,1,12,Relaxed
12.55,6.96,10.0,0.0,Moderate,7.627999999999999,0.5136531365313652,High,1,3,11,Exhausted
7.86,7.59,6.3,40.9,Good,4.146,0.8566591422121896,Moderate,0,3,7,Normal
9.07,5.54,10.0,10.7,Moderate,6.52,0.5501489572989077,High,4,0,7,Exhausted
13.49,7.13,10.0,0.0,Good,7.970000000000001,0.492063492063492,High,3,0,9,Exhausted
8.86,6.53,10.0,10.5,Moderate,6.238,0.6622718052738338,High,3,1,7,Exhausted
7.13,7.06,7.0,29.5,Good,4.240000000000001,0.8683886838868389,Moderate,0,0,9,Normal
8.18,9.2,4.2,68.9,Good,3.112,1.002178649237473,High,3,2,11,Normal
10.26,6.98,9.4,10.8,Moderate,6.468000000000001,0.6198934280639432,High,2,1,8,Exhausted
10.14,6.68,10.0,0.0,Moderate,6.720000000000001,0.5996409335727109,High,1,2,9,Exhausted
7.52,5.49,8.1,18.2,Moderate,5.15,0.6443661971830986,Moderate,3,2,9,Normal
7.67,8.36,5.1,53.5,Good,3.436000000000001,0.9642445213379468,Moderate,2,1,7,Normal
5.74,6.34,3.7,48.7,Moderate,2.508000000000001,0.940652818991098,Moderate,0,3,9,Relaxed
8.93,6.21,9.8,0.7,Moderate,6.250000000000001,0.6253776435045317,High,2,0,5,Exhausted
7.05,7.08,10.0,1.8,Good,5.404,0.8795031055900621,Moderate,3,3,4,Normal
11.3,7.74,10.0,4.6,Good,6.972,0.6292682926829268,High,3,3,7,Exhausted
6.61,8.06,7.0,42.8,Good,3.8320000000000007,1.0591327201051248,Moderate,1,3,4,Normal
7.43,7.11,7.6,28.9,Good,4.59,0.8434163701067616,Moderate,4,0,4,Normal
9.57,7.18,10.0,0.9,Good,6.392,0.6792809839167454,High,2,2,12,Exhausted
6.37,6.91,8.5,11.1,Moderate,4.566000000000001,0.937584803256445,Moderate,0,0,12,Normal
14.35,6.5,10.0,0.0,Moderate,8.44,0.4234527687296417,High,4,1,6,Exhausted
6.89,7.42,7.0,17.2,Good,4.072000000000001,0.9404309252217998,Moderate,3,3,11,Normal
11.38,7.38,9.9,2.4,Good,7.0360000000000005,0.5961227786752826,High,4,2,10,Exhausted
13.05,7.28,10.0,0.0,Good,7.764,0.5181494661921708,High,0,3,6,Exhausted
7.47,7.57,8.4,14.8,Good,4.8340000000000005,0.8937426210153484,Moderate,4,2,7,Normal
9.93,6.63,9.5,2.2,Moderate,6.446,0.6065873741994511,High,3,2,12,Exhausted
8.08,7.64,6.5,57.6,Good,4.304,0.8414096916299559,High,2,2,11,Normal
7.88,7.03,9.0,17.7,Good,5.346,0.7916666666666667,Moderate,1,2,9,Normal
8.81,6.22,10.0,12.5,Moderate,6.280000000000001,0.6340468909276248,High,4,2,10,Exhausted
5.65,7.28,7.2,35.2,Good,3.684,1.0947368421052632,Moderate,3,2,7,Normal
